,charts/0/avg_episode_returns,charts/0/avg_episode_lengths,charts/0/avg_episode_success,stats/0/avg_params_queue_get_time,stats/0/avg_rollout_time,stats/0/avg_create_rollout_time,stats/0/avg_rollout_queue_put_time,stats/0/avg_env_recv_time,stats/0/avg_inference_time,stats/0/avg_storage_time,stats/0/avg_device2host_time,stats/0/avg_env_send_time,stats/0/avg_update_time,charts/0/instant_avg_episode_length,charts/0/instant_avg_episode_return,charts/0/returned_avg_episode_length,charts/0/returned_avg_episode_return,charts/0/returned_avg_episode_success,stats/0/inner_time_efficiency,stats/0/middle_time_efficiency,charts/0/SPS,policy_versions/actor_0,stats/rollout_queue_get_time,stats/rollout_params_queue_get_time_diff,stats/training_time,stats/rollout_queue_size,stats/params_queue_size,losses/value_loss,losses/policy_loss,losses/entropy,losses/loss,actor_ma,adv_multiplier,critic_bias,critic_diff,critic_ma,grad_rms/avg,grad_rms/total,param_rms/avg,param_rms/total,proportion_of_boxes,var_explained,policy_versions/learner,losses/learning_rate,rho100/00_episode_returns,rho100/00_episode_lengths,rho100/00_episode_successes,rho100/00_episode_num_cycles,rho100/00_cycles_steps_per_eps_incl_noops,rho100/00_cycles_steps_per_eps_excl_noops,rho100/00_episode_num_noops_per_eps,rho100/00_episode_num_cycles_in_solved,rho100/00_cycles_steps_per_eps_incl_noops_in_solved,rho100/00_cycles_steps_per_eps_excl_noops_in_solved,rho100/00_episode_num_noops_per_eps_in_solved,rho100/00_episode_zero_boxes,rho100/00_episode_one_box,rho100/00_episode_two_boxes,rho100/00_episode_three_boxes,rho050/00_episode_returns,rho050/00_episode_lengths,rho050/00_episode_successes,rho050/00_episode_num_cycles,rho050/00_cycles_steps_per_eps_incl_noops,rho050/00_cycles_steps_per_eps_excl_noops,rho050/00_episode_num_noops_per_eps,rho050/00_episode_num_cycles_in_solved,rho050/00_cycles_steps_per_eps_incl_noops_in_solved,rho050/00_cycles_steps_per_eps_excl_noops_in_solved,rho050/00_episode_num_noops_per_eps_in_solved,rho050/00_episode_zero_boxes,rho050/00_episode_one_box,rho050/00_episode_two_boxes,rho050/00_episode_three_boxes,rho000/00_episode_returns,rho000/00_episode_lengths,rho000/00_episode_successes,rho000/00_episode_num_cycles,rho000/00_cycles_steps_per_eps_incl_noops,rho000/00_cycles_steps_per_eps_excl_noops,rho000/00_episode_num_noops_per_eps,rho000/00_episode_num_cycles_in_solved,rho000/00_cycles_steps_per_eps_incl_noops_in_solved,rho000/00_cycles_steps_per_eps_excl_noops_in_solved,rho000/00_episode_num_noops_per_eps_in_solved,rho000/00_episode_zero_boxes,rho000/00_episode_one_box,rho000/00_episode_two_boxes,rho000/00_episode_three_boxes
51200,-3.181025743484497,72.43574523925781,0.5662650602409639,1.0583887577056885,1.1722942113876342,5.763053894042969e-05,1.4996528625488281e-05,0.008227368593215942,0.02066866874694824,0.10777027606964111,0.021218509674072267,0.008409466743469238,2.3384886503219606,59.089844,-2.9544907,84.75,-3.889846,0.4609375,0.9994358707496055,0.9999912727263532,2133.3611597935637,8.0,0.977856707572937,-0.08053205013275155,1.1766114234924316,1.0,0.0,0.3461529314517975,-0.021241340786218643,-1.312576413154602,0.05281919240951538,0.3806418180465698,1.0,-0.0060976301319897175,-4.035892486572266,4.041990280151367,0.00029875669861212373,0.35973742604255676,0.03296074643731117,39.68852996826172,0.0048828125,-0.0008255690336227417,10.0,0.00039987834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102400,-3.942322254180908,85.03839874267578,0.4288,0.31651432514190675,0.8300617456436157,5.5711269378662106e-05,1.1873245239257812e-05,0.0034882307052612306,0.008575329780578613,0.025117111206054688,0.024398103952407837,0.004954122304916382,1.1717275381088257,51.476562,-2.5738277,86.5,-4.0398464,0.40625,0.9992388694020933,0.9999808122014051,2856.846544074357,18.0,0.00022187232971191407,-0.3162924528121948,1.1799414157867432,1.0,1.0,0.3629768490791321,0.005933151580393314,-1.0733532905578613,0.08848007768392563,0.6167504787445068,1.0,-0.00853537768125534,-5.3809027671813965,5.389438152313232,0.00038294726982712746,0.4611125886440277,0.03297777846455574,39.70903778076172,0.003515625139698386,-0.20251798629760742,20.0,0.00039974315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153600,-4.030620098114014,86.37564086914062,0.3927958833619211,0.3213693380355835,0.8263884782791138,5.7363510131835936e-05,1.1348724365234375e-05,0.0033211112022399902,0.007961933612823486,0.019618511199951172,0.025005791187286377,0.004942065477371216,1.1674097776412964,54.76953,-2.7384763,85.92578,-3.9994166,0.40234375,0.9992459012940822,0.999981067999681,3229.8655885399357,28.0,0.00016181468963623048,-0.32120752334594727,1.1865239143371582,1.0,1.0,0.24294166266918182,-0.02567620575428009,-1.201225757598877,0.02510412037372589,0.5896826982498169,1.0,-0.010070466436445713,-5.108994960784912,5.119065284729004,0.00021975072741042823,0.26460516452789307,0.03299320489168167,39.72761154174805,0.003710937686264515,-0.0028990432620048523,30.0,0.000399608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204800,-3.8170268535614014,83.2165298461914,0.4479338842975207,0.3430148124694824,0.8238657712936401,5.567550659179688e-05,1.1324882507324219e-05,0.003179594278335571,0.008444411754608154,0.016891217231750487,0.024659092426300048,0.0048229265213012695,1.1838059902191163,58.10547,-2.9052732,82.5625,-3.7707052,0.46875,0.9992331741736141,0.9999806857357331,3446.2221156332507,38.0,0.00015010833740234376,-0.34286470413208003,1.1867985725402832,1.0,1.0,0.3211389482021332,-0.0004926547408103943,-1.311826229095459,0.06723828613758087,0.32942983508110046,1.0,-0.01153949648141861,-5.117155075073242,5.128694534301758,0.00024290515284519643,0.29248571395874023,0.03301001340150833,39.74785614013672,0.005664062686264515,0.010691165924072266,40.0,0.00039947283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256000,-3.8334944248199463,83.70158386230469,0.4634920634920635,0.3499060869216919,0.8283644437789917,5.5528879165649414e-05,1.0395050048828125e-05,0.0031484663486480713,0.008546414375305176,0.020825648307800294,0.024887927770614625,0.004749015569686889,1.1991268873214722,52.121094,-2.6060543,84.81641,-3.893166,0.46875,0.9992546940960346,0.9999830599554107,3583.2126302908164,48.0,0.00019147396087646485,-0.3497146129608154,1.2253098487854004,1.0,0.0,0.7802134156227112,0.09566275775432587,-1.3548247814178467,0.2773810625076294,0.21681761741638184,1.0,-0.011377125047147274,-4.2654266357421875,4.276803970336914,0.00046890455996617675,0.5646149516105652,0.03300856798887253,39.746116638183594,0.008984374813735485,0.0010787397623062134,50.0,0.00039933764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307200,-3.8018691539764404,82.75811767578125,0.44642857142857145,0.3738287687301636,0.7913376808166503,4.945516586303711e-05,1.0895729064941407e-05,0.002739905118942261,0.007738878726959228,0.021039938926696776,0.02481332778930664,0.004196358919143677,1.1862398386001587,52.984375,-2.6492183,84.33594,-3.9082055,0.4140625,0.9992681172318802,0.9999809866463348,3687.4370107771597,58.0,0.00019347667694091797,-0.37363529205322266,1.1859781742095947,1.0,1.0,0.8334894180297852,0.09214402735233307,-1.2567083835601807,0.28911662101745605,0.5225323438644409,1.0,-0.014398802071809769,-5.387967109680176,5.4023661613464355,0.0007024183869361877,0.8457925319671631,0.033057801425457,39.805397033691406,0.0072265625931322575,0.026242971420288086,60.0,0.0003992025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358400,-3.8721961975097656,84.2278060913086,0.4455611390284757,0.31925144195556643,0.8533184766769409,5.8760643005371096e-05,1.1277198791503906e-05,0.003345731496810913,0.008776392936706543,0.01713407039642334,0.024965662956237793,0.005486688613891602,1.189736270904541,56.5625,-2.8281248,86.48047,-3.9900417,0.421875,0.999233880711874,0.9999823450983781,3763.351245427772,68.0,0.00021233558654785157,-0.31903910636901855,1.18943452835083,1.0,1.0,0.4178867042064667,0.023100700229406357,-1.234897494316101,0.11695772409439087,0.5166881680488586,1.0,-0.014707464724779129,-5.137539863586426,5.152247428894043,0.00028481066692620516,0.34294477105140686,0.03306623548269272,39.8155517578125,0.005078125279396772,0.004496760666370392,70.0,0.0003990673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409600,-3.7807774543762207,82.22293853759766,0.4394184168012924,0.2956502437591553,0.882695984840393,6.507515907287597e-05,1.3589859008789062e-05,0.0037961089611053466,0.009053690433502197,0.022093844413757325,0.025164893865585326,0.006019690036773682,1.2004774332046508,57.75,-2.8874998,78.84375,-3.5769553,0.4765625,0.9991992535009295,0.9999801992676589,3818.4845804473357,78.0,0.00016498565673828125,-0.295485258102417,1.1957075595855713,1.0,1.0,0.6437618136405945,0.04191949963569641,-1.1328318119049072,0.19352340698242188,0.5523237586021423,1.0,-0.015527976676821709,-5.212603569030762,5.228131294250488,0.0003617573238443583,0.43559741973876953,0.033079251646995544,39.83122253417969,0.005664062686264515,0.0031507760286331177,80.0,0.00039893214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460800,-3.9309470653533936,85.00325775146484,0.42833876221498374,0.31472091674804686,0.8514190196990967,5.7700872421264645e-05,1.1444091796875e-05,0.0034188222885131836,0.008514401912689208,0.018163585662841798,0.025022724866867064,0.00552462100982666,1.1843382835388183,53.875,-2.6937497,84.61719,-3.8988304,0.44140625,0.9992323395676784,0.999980311928306,3867.8179451108876,88.0,0.00010936260223388672,-0.314611554145813,1.224433422088623,1.0,0.0,0.5464180707931519,0.07129882276058197,-1.3756041526794434,0.19417554140090942,0.06441286206245422,1.0,-0.016930226236581802,-5.209738731384277,5.226668834686279,0.00034075439907610416,0.41030746698379517,0.033102601766586304,39.859344482421875,0.005664062686264515,0.0024258941411972046,90.0,0.00039879695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512000,-3.793853759765625,82.5113296508789,0.44983818770226536,0.2731620788574219,0.9131667852401734,6.875872611999511e-05,1.2969970703125e-05,0.004578326940536499,0.00948358178138733,0.021787476539611817,0.025101464986801148,0.006388386487960815,1.2081516981124878,54.6875,-2.7343748,82.42969,-3.8050807,0.42578125,0.9991716663414792,0.9999814696245408,3901.784906944919,98.0,0.00026593208312988283,-0.272896146774292,1.1975080966949463,1.0,1.0,0.30754584074020386,-0.007239129859954119,-1.29153573513031,0.05758509039878845,0.4005257189273834,1.0,-0.019283998757600784,-6.179082870483398,6.198367118835449,0.00033041503047570586,0.3978577256202698,0.03313782066106796,39.90174865722656,0.0033203125931322575,-0.23631787300109863,100.0,0.0003986618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
