step,chose_optimal_rho1,chose_optimal_rho0,followed_f0_rho1,followed_f0_rho0,reached_rho1,reached_rho0,legal_rho0,auc_rho1,auc_rho0_own,auc_rho0_optimal,auc_rho0_colour0
0,0.75,0.75,0.5,0.5,0.09765625,0.09765625,0.0703125,0.8208334131532827,0.8233749834767666,0.5698196568927824,0.5091407699752628
25,0.6750902527075813,0.6762589928057554,0.43010752688172044,0.575,0.2724609375,0.2734375,0.0439453125,0.7184487756599637,0.7092499796026872,0.6162466320319139,0.4806641479778071
35,0.7397260273972602,0.7323943661971831,0.4897959183673469,0.5208333333333334,0.1435546875,0.140625,0.052734375,0.7448432181766836,0.742299066885435,0.5708918669480819,0.4935095199850667
49,0.6861313868613139,0.68,0.4332129963898917,0.5683453237410072,0.2705078125,0.271484375,0.0751953125,0.7221118877511542,0.7162508916562313,0.5976673314345369,0.49417556469192464
69,0.7174887892376681,0.728110599078341,0.48,0.5068493150684932,0.2197265625,0.2138671875,0.0869140625,0.6783317963860741,0.6963313075536369,0.6057853244218505,0.5000063398593362
96,0.7419354838709677,0.7302904564315352,0.5059760956175299,0.5020408163265306,0.2451171875,0.2392578125,0.0751953125,0.7246518046639698,0.7231751743127112,0.5940702091323786,0.4992860141918732
134,0.7241379310344828,0.7164179104477612,0.4975609756097561,0.5073891625615764,0.2001953125,0.1982421875,0.068359375,0.7136818288669488,0.7150532744649963,0.5929059591443564,0.5297894957550393
188,0.7335423197492164,0.7232704402515723,0.4984520123839009,0.515527950310559,0.3154296875,0.314453125,0.0810546875,0.6567715641284904,0.6563090404279717,0.6030541891408009,0.5101615200080732
264,0.7003154574132492,0.7003257328990228,0.45652173913043476,0.5448717948717948,0.314453125,0.3046875,0.083984375,0.6662056885213422,0.6681663858918935,0.5952573509016131,0.5387306582002748
369,0.7054263565891473,0.704,0.49872773536895676,0.5170603674540682,0.3837890625,0.3720703125,0.078125,0.6435540475789637,0.6363874619060299,0.5985383223389742,0.5304052791028302
517,0.6943699731903485,0.6793478260869565,0.5093333333333333,0.5,0.3662109375,0.36328125,0.12890625,0.700161653745577,0.7047610599778839,0.6441559291998578,0.5719093643251801
723,0.6919060052219321,0.6737967914438503,0.49226804123711343,0.5303430079155673,0.37890625,0.3701171875,0.16796875,0.7289756775726164,0.7186136736543779,0.6512144779444583,0.60604244803799
1012,0.6877828054298643,0.6770601336302895,0.47651006711409394,0.5374449339207048,0.4365234375,0.443359375,0.2001953125,0.721603969009636,0.7218274278481058,0.6574955335416209,0.6018542193136429
1417,0.7,0.692722371967655,0.5104166666666666,0.504,0.375,0.3662109375,0.2451171875,0.7599383463464336,0.7617121252906802,0.6643576700154072,0.5847684291214184
1984,0.7200902934537246,0.7156177156177156,0.5223214285714286,0.5127020785219399,0.4375,0.4228515625,0.3349609375,0.7464457689952211,0.7459734297819365,0.6895948934858422,0.6078868569095055
2778,0.7807017543859649,0.6590257879656161,0.6271676300578035,0.5625,0.337890625,0.34375,0.3544921875,0.7155377328970322,0.7268646752130767,0.6543601869293209,0.6230824866679948
3889,0.7950819672131147,0.5728395061728395,0.660377358490566,0.6440677966101694,0.3623046875,0.4033203125,0.490234375,0.7412164909441512,0.7459399009515199,0.6668810850373329,0.6518171801560573
5445,0.8310291858678955,0.53125,0.8209408194233687,0.6054545454545455,0.6435546875,0.537109375,0.5458984375,0.7042342510535965,0.6926009562169202,0.5855434737383595,0.641747522748984
7623,0.8396674584323041,0.40594059405940597,0.790341578327444,0.7503506311360448,0.8291015625,0.6962890625,0.7080078125,0.677531259963331,0.6251865929841778,0.5870693429483542,0.662323176747958
10672,0.870575221238938,0.3649167733674776,0.7989071038251366,0.776796973518285,0.8935546875,0.7744140625,0.7666015625,0.7486345059484834,0.7173497137948424,0.622464173771393,0.7241155961585419
14941,0.9139896373056995,0.4414201183431953,0.7895812053115424,0.7001166861143524,0.9560546875,0.8369140625,0.8388671875,0.7649761658856866,0.7253111185370869,0.639437070217643,0.7218947172893324
20917,0.9418254764292878,0.4553672316384181,0.8160237388724035,0.6614699331848553,0.9873046875,0.876953125,0.8779296875,0.778222205580041,0.715446547343634,0.6216732844008704,0.7255205939546239
29284,0.9590409590409591,0.4661308840413318,0.8157635467980295,0.6285390713476784,0.9912109375,0.8623046875,0.873046875,0.7886321867223424,0.70554737088588,0.6310444940577506,0.7223922982081596
30000,0.9590409590409591,0.4672789896670494,0.8137931034482758,0.6285390713476784,0.9912109375,0.8623046875,0.8740234375,0.7848960572871764,0.7050278888475054,0.6324298999286375,0.7224978535981381
