,charts/0/avg_episode_returns,charts/0/avg_episode_lengths,charts/0/avg_episode_success,stats/0/avg_params_queue_get_time,stats/0/avg_rollout_time,stats/0/avg_create_rollout_time,stats/0/avg_rollout_queue_put_time,stats/0/avg_env_recv_time,stats/0/avg_inference_time,stats/0/avg_storage_time,stats/0/avg_device2host_time,stats/0/avg_env_send_time,stats/0/avg_update_time,charts/0/instant_avg_episode_length,charts/0/instant_avg_episode_return,charts/0/returned_avg_episode_length,charts/0/returned_avg_episode_return,charts/0/returned_avg_episode_success,stats/0/inner_time_efficiency,stats/0/middle_time_efficiency,charts/0/SPS,policy_versions/actor_0,stats/rollout_queue_get_time,stats/rollout_params_queue_get_time_diff,stats/training_time,stats/rollout_queue_size,stats/params_queue_size,losses/value_loss,losses/policy_loss,losses/entropy,losses/loss,actor_ma,adv_multiplier,critic_bias,critic_diff,critic_ma,grad_rms/avg,grad_rms/total,param_rms/avg,param_rms/total,proportion_of_boxes,var_explained,policy_versions/learner,losses/learning_rate,rho100/00_episode_returns,rho100/00_episode_lengths,rho100/00_episode_successes,rho100/00_episode_num_cycles,rho100/00_cycles_steps_per_eps_incl_noops,rho100/00_cycles_steps_per_eps_excl_noops,rho100/00_episode_num_noops_per_eps,rho100/00_episode_num_cycles_in_solved,rho100/00_cycles_steps_per_eps_incl_noops_in_solved,rho100/00_cycles_steps_per_eps_excl_noops_in_solved,rho100/00_episode_num_noops_per_eps_in_solved,rho100/00_episode_zero_boxes,rho100/00_episode_one_box,rho100/00_episode_two_boxes,rho100/00_episode_three_boxes,rho050/00_episode_returns,rho050/00_episode_lengths,rho050/00_episode_successes,rho050/00_episode_num_cycles,rho050/00_cycles_steps_per_eps_incl_noops,rho050/00_cycles_steps_per_eps_excl_noops,rho050/00_episode_num_noops_per_eps,rho050/00_episode_num_cycles_in_solved,rho050/00_cycles_steps_per_eps_incl_noops_in_solved,rho050/00_cycles_steps_per_eps_excl_noops_in_solved,rho050/00_episode_num_noops_per_eps_in_solved,rho050/00_episode_zero_boxes,rho050/00_episode_one_box,rho050/00_episode_two_boxes,rho050/00_episode_three_boxes,rho000/00_episode_returns,rho000/00_episode_lengths,rho000/00_episode_successes,rho000/00_episode_num_cycles,rho000/00_cycles_steps_per_eps_incl_noops,rho000/00_cycles_steps_per_eps_excl_noops,rho000/00_episode_num_noops_per_eps,rho000/00_episode_num_cycles_in_solved,rho000/00_cycles_steps_per_eps_incl_noops_in_solved,rho000/00_cycles_steps_per_eps_excl_noops_in_solved,rho000/00_episode_num_noops_per_eps_in_solved,rho000/00_episode_zero_boxes,rho000/00_episode_one_box,rho000/00_episode_two_boxes,rho000/00_episode_three_boxes
51200,-3.0549511909484863,69.5838394165039,0.5838383838383838,0.9851053476333618,1.2247881650924684,7.648229598999024e-05,1.747608184814453e-05,0.004768062829971314,0.02094627022743225,0.07598967552185058,0.021711561679840088,0.01369470238685608,2.2859283447265626,65.453125,-3.272655,89.92969,-4.2035184,0.390625,0.99930879746,0.9999878909603193,2190.685700658693,8.0,0.9351552486419678,-0.04995009899139402,1.1778316497802734,1.0,0.0,0.13530182838439941,0.003937654662877321,-1.138218879699707,0.029153957962989807,0.726985514163971,1.0,-0.0092569999396801,-7.488039970397949,7.497296333312988,0.0002468237071298063,0.2972041368484497,0.03325371444225311,40.04129409790039,0.0015625000232830644,-0.6205945611000061,10.0,0.00039987834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102400,-3.5966637134552,79.41903686523438,0.5099431818181818,0.21663925647735596,0.9278466463088989,7.982492446899414e-05,1.4400482177734375e-05,0.004710764884948731,0.009684134721755982,0.02956418991088867,0.024941500425338745,0.006932140588760376,1.1740997076034545,47.05078,-2.3525386,79.109375,-3.58633,0.5234375,0.9990522836861668,0.9999700072967354,2907.7745241522775,18.0,0.00020647048950195312,-0.216432785987854,1.1813366413116455,1.0,1.0,0.15790601074695587,-0.0899040699005127,-1.1967687606811523,-0.06103625148534775,0.5066279172897339,1.0,-0.011092793196439743,-2.557469367980957,2.5685625076293945,0.0003747981390915811,0.4513000547885895,0.03334410488605499,40.1501350402832,0.00527343712747097,-0.0020600855350494385,20.0,0.00039974315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153600,-4.1096978187561035,88.28007507324219,0.4111310592459605,0.19975495338439941,0.9448256969451905,7.94517993927002e-05,1.4233589172363282e-05,0.0047335195541381835,0.00988605260848999,0.021547436714172363,0.025522820949554444,0.006976509094238281,1.1661726713180542,54.972656,-2.7486327,89.66016,-4.178323,0.41015625,0.9990912431449583,0.9999739741070374,3273.995585517571,28.0,0.00018372535705566407,-0.19957122802734376,1.1842854022979736,1.0,1.0,0.333257257938385,0.040197648108005524,-1.297986388206482,0.111116923391819,0.3094271123409271,1.0,-0.017238376662135124,-7.140883445739746,7.158121585845947,0.0004978098440915346,0.5994203090667725,0.03339798003435135,40.21500778198242,0.003515625139698386,-0.15341344475746155,30.0,0.000399608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204800,-3.825819253921509,83.26470947265625,0.45588235294117646,0.20954008102416993,0.9758779048919678,8.130311965942383e-05,1.4734268188476562e-05,0.0048568034172058105,0.011138898134231568,0.018070316314697264,0.025335094928741454,0.00733842134475708,1.2035309553146363,55.91797,-2.7958977,85.19141,-3.9431663,0.4375,0.9991110711742602,0.9999768025778735,3472.4163182527827,38.0,0.00016946792602539061,-0.20937061309814453,1.191711664199829,1.0,1.0,0.3270184397697449,0.012307723984122276,-1.2657090425491333,0.08224225044250488,0.3080465793609619,1.0,-0.01871379278600216,-5.198129653930664,5.216843128204346,0.0002997519914060831,0.36093583703041077,0.03341887891292572,40.24017333984375,0.004687500186264515,0.003002062439918518,40.0,0.00039947283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256000,-3.7512307167053223,81.89093780517578,0.4700460829493088,0.18441660404205323,0.9771081209182739,8.078217506408691e-05,1.4662742614746094e-05,0.004829670190811157,0.011363823413848877,0.02257993221282959,0.025248310565948485,0.007286695241928101,1.1841446876525878,47.671875,-2.3835936,87.17969,-4.0542994,0.41796875,0.9990558985781504,0.9999785771645299,3612.3028581006793,48.0,0.0001873016357421875,-0.18422930240631105,1.2104971408843994,1.0,0.0,0.7943786382675171,0.02943459339439869,-1.1943086385726929,0.21755924820899963,0.46980351209640503,1.0,-0.021896887570619583,-5.460415363311768,5.4823126792907715,0.0006737014045938849,0.8112139701843262,0.03345824033021927,40.287567138671875,0.0048828125,0.0006340444087982178,50.0,0.00039933764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307200,-3.885802745819092,84.23924255371094,0.42857142857142855,0.22491278648376464,0.9476890563964844,7.524847984313965e-05,1.3279914855957032e-05,0.00453213095664978,0.010731799602508545,0.024539947509765625,0.025010635852813722,0.0069929158687591555,1.1971813201904298,56.48828,-2.8244138,84.23047,-3.856057,0.4453125,0.9991194989755707,0.9999780735924322,3708.0892789338,58.0,0.00018842220306396483,-0.22472436428070067,1.193816900253296,1.0,1.0,0.9380027651786804,0.11777020990848541,-1.2727736234664917,0.3403558135032654,0.33435457944869995,1.0,-0.023489607498049736,-5.904676914215088,5.92816686630249,0.0010809788946062326,1.3016228675842285,0.03347302973270416,40.30537414550781,0.005664062686264515,0.06957440823316574,60.0,0.0003992025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358400,-4.001165390014648,86.23587799072266,0.4169435215946844,0.20228779315948486,0.9621577024459839,8.284807205200196e-05,1.7595291137695312e-05,0.004943829774856567,0.010087896585464478,0.02422614097595215,0.02563886880874634,0.0073103225231170655,1.1887198448181153,53.69922,-2.6849604,86.125,-3.9937525,0.42578125,0.9990829079692324,0.9999742471317442,3781.958195398886,68.0,0.00018115043640136718,-0.20210664272308348,1.197096824645996,1.0,1.0,0.6084478497505188,0.04340988025069237,-1.2002027034759521,0.18489336967468262,0.478259414434433,1.0,-0.02580612152814865,-5.110359191894531,5.136165618896484,0.0005224046763032675,0.6290353536605835,0.03353042155504227,40.37448501586914,0.005664062686264515,0.007185481488704681,70.0,0.0003990673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409600,-3.753037214279175,81.76996612548828,0.4472843450479233,0.20184016227722168,0.9540799617767334,7.958292961120606e-05,1.5783309936523438e-05,0.004690346717834473,0.010224630832672119,0.022495603561401366,0.025652297735214234,0.0070142984390258786,1.1784602403640747,53.746094,-2.6873045,80.08594,-3.629299,0.484375,0.9991019319932267,0.999975621206556,3842.8910012662536,78.0,0.00015571117401123047,-0.20168445110321045,1.1973800659179688,1.0,1.0,0.4849729537963867,0.007556930650025606,-1.1637754440307617,0.11900326609611511,0.5908323526382446,1.0,-0.027071835473179817,-4.647714614868164,4.674786567687988,0.00048493643407709897,0.5839191675186157,0.033565159887075424,40.41631317138672,0.005078125279396772,0.024441272020339966,80.0,0.00039893214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460800,-3.7690727710723877,82.20833587646484,0.4519230769230769,0.21889088153839112,0.9669651985168457,8.312582969665527e-05,1.4710426330566407e-05,0.004898971319198609,0.010481028556823731,0.025890088081359862,0.025495121479034422,0.007345908880233764,1.2117944240570069,53.36328,-2.6681635,81.33984,-3.719338,0.47265625,0.9990877880419533,0.9999723175041793,3880.9665907085123,88.0,0.00017158985137939454,-0.21871929168701174,1.2183506488800049,1.0,0.0,0.4151167869567871,0.04157812148332596,-1.2007023096084595,0.135147362947464,0.6493495106697083,1.0,-0.028621874749660492,-4.905943870544434,4.934566020965576,0.000343702471582219,0.41385728120803833,0.033591821789741516,40.44841766357422,0.007031249813735485,0.0060773566365242004,90.0,0.00039879695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512000,-4.048642158508301,87.14625549316406,0.4166666666666667,0.19324154853820802,0.9758343696594238,8.099198341369629e-05,1.4376640319824218e-05,0.004895901679992676,0.010600090026855469,0.02722644805908203,0.025801061391830443,0.007367541790008545,1.1963436365127564,53.19922,-2.6599605,87.33594,-4.064065,0.41015625,0.9990545196540584,0.9999775201581704,3917.266704529428,98.0,0.00016779899597167968,-0.19307374954223633,1.1956911087036133,1.0,1.0,0.4175434112548828,-0.03959865868091583,-1.2751370668411255,0.05295329540967941,0.4524954557418823,1.0,-0.030320892110466957,-4.849116325378418,4.879436492919922,0.0003781396080739796,0.45532357692718506,0.03360157459974289,40.46015548706055,0.004687500186264515,0.09300926327705383,100.0,0.0003986618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563200,-4.123232364654541,88.49222564697266,0.40414507772020725,0.2308196544647217,0.941661262512207,7.571697235107421e-05,1.366138458251953e-05,0.004502692222595215,0.0099644136428833,0.02639346122741699,0.025577601194381714,0.006921433210372925,1.1989147424697877,53.054688,-2.6527343,87.14844,-4.0332055,0.43359375,0.9991248257804257,0.9999777274564124,3946.0766376565753,108.0,0.00015385150909423827,-0.23066580295562744,1.199415683746338,1.0,1.0,1.017230749130249,0.08024445176124573,-1.2091467380523682,0.32423174381256104,0.6349204778671265,1.0,-0.03194016218185425,-5.90257453918457,5.934514999389648,0.0007122443057596684,0.8576240539550781,0.0336526557803154,40.52166748046875,0.0064453124068677425,0.026817314326763153,110.0,0.0003985266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614400,-3.9761483669281006,85.58403778076172,0.4142614601018676,0.20073962211608887,0.9717353343963623,8.186936378479004e-05,1.461505889892578e-05,0.004866530895233154,0.010452042818069458,0.025605130195617675,0.02580588936805725,0.007337679862976074,1.1981208324432373,56.14453,-2.8072262,88.17578,-4.1294947,0.3984375,0.9991200399906432,0.9999781902830149,3970.7550654878182,118.0,0.0001725912094116211,-0.20056703090667724,1.205477237701416,1.0,1.0,0.004254520870745182,-0.006023789290338755,-1.0917253494262695,-0.01033220998942852,0.8390806913375854,1.0,-0.031460076570510864,3.2355234622955322,3.2380244731903076,0.00022789312060922384,0.27440953254699707,0.03388353809714317,40.79967498779297,0.0033203125931322575,0.6161362528800964,120.0,0.00039839145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665600,-3.6319899559020996,80.57453155517578,0.5046583850931677,0.21144938468933105,0.9524536371231079,7.945537567138672e-05,1.3709068298339844e-05,0.004644224643707276,0.010130926370620727,0.02449507713317871,0.02570345878601074,0.007022616863250733,1.1884389638900756,53.44922,-2.6724606,86.28906,-3.9707055,0.44140625,0.9991180711531242,0.9999771499614328,3994.1959700764564,128.0,0.0001706361770629883,-0.21127874851226808,1.1975734233856201,1.0,1.0,0.23345662653446198,-0.006158547475934029,-1.0738251209259033,0.04381256550550461,0.6040708422660828,1.0,-0.03466695547103882,-4.992327690124512,5.026994705200195,0.0005904887220822275,0.7110162973403931,0.034094762057065964,41.05401611328125,0.005664062686264515,0.0004109516739845276,130.0,0.00039825626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716800,-3.9639060497283936,85.68566131591797,0.4283246977547496,0.22603051662445067,0.9469064712524414,8.22603702545166e-05,1.678466796875e-05,0.004878122806549073,0.009716551303863525,0.0357633113861084,0.025409653186798095,0.007214533090591431,1.2087481021881104,59.652344,-2.982617,83.44531,-3.8265648,0.45703125,0.9990663744327998,0.9999743385267079,4009.938330306717,138.0,0.00018782615661621093,-0.22584269046783445,1.2014119625091553,1.0,1.0,0.48155900835990906,0.026398684829473495,-1.1903026103973389,0.13665610551834106,0.5927971005439758,1.0,-0.035509154200553894,-6.020363807678223,6.055872917175293,0.0006841285503469408,0.8237694501876831,0.03410930931568146,41.071529388427734,0.00390625,-0.001522555947303772,140.0,0.0003981211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768000,-3.967210292816162,86.06493377685547,0.461038961038961,0.22219367027282716,0.9516280174255372,8.302450180053711e-05,1.4042854309082031e-05,0.004906381368637085,0.009845632314682006,0.024511337280273438,0.025574588775634767,0.007127951383590698,1.1983782291412353,52.558594,-2.6279292,85.66406,-3.9472678,0.46484375,0.9990789988077418,0.999973997100806,4025.868452364084,148.0,0.0001528024673461914,-0.22204086780548096,1.1992225646972656,1.0,1.0,0.20833489298820496,0.012761697173118591,-1.0348711013793945,0.05714841187000275,0.6410349607467651,1.0,-0.03522128611803055,-4.868711471557617,4.903932571411133,0.0004899242194369435,0.5899250507354736,0.034122586250305176,41.0875129699707,0.00546875037252903,-0.011995553970336914,150.0,0.00039798592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819200,-3.682992696762085,80.85917663574219,0.48417721518987344,0.23948454856872559,0.9257363557815552,7.745146751403809e-05,1.4781951904296875e-05,0.004583073854446411,0.009441782236099244,0.03153736591339111,0.0253358256816864,0.006806172132492065,1.1968051671981812,52.9375,-2.6468747,80.42578,-3.65801,0.48828125,0.9990815437554311,0.9999731660729038,4040.0633995186317,158.0,0.00018565654754638673,-0.2392988920211792,1.2019104957580566,1.0,1.0,0.4521937966346741,-0.04766051098704338,-1.2780550718307495,0.053952768445014954,0.47091764211654663,1.0,-0.03663933277130127,-5.118329048156738,5.15496826171875,0.0008057779050432146,0.9702492356300354,0.034125909209251404,41.09151840209961,0.0033203125931322575,-0.017626158893108368,160.0,0.00039785076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
