script distance_field_bc.py
commit dc8ec33
argv   /workspace/data/offline/runs/bcnv11.s2

256 train / 512 test episodes; DRC reference: partial ~0.70, hard R2 ~0.25, MAE ~3.5

== distance-to-agent ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0 (l2 clipped)    0.002     -0.022   -0.563    [-0.61,-0.52]   6.81  -0.003
  trained depth 1 (l2 clipped)    0.032      0.047   -0.548    [-0.59,-0.51]   6.69   0.017
  trained depth 2 (l2 clipped)    0.102      0.116   -0.480    [-0.53,-0.43]   6.17   0.123
  trained depth 3 (l2 clipped)    0.132      0.136   -0.447    [-0.50,-0.40]   6.25   0.108
  trained depth 4 (l2 clipped)    0.110      0.093   -0.466    [-0.52,-0.42]   6.37   0.082
  trained all               0.194      0.207   -0.362    [-0.41,-0.30]   5.73   0.212
  untrained all (l2 clipped)   -0.011     -0.020   -0.562    [-0.61,-0.52]   6.81  -0.005
  observation (l2 clipped)    0.009      0.012   -0.561    [-0.61,-0.52]   6.79  -0.000

== d->rich (colour0) ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0 (l2 clipped)   -0.028     -0.038   -0.540    [-0.59,-0.49]   6.88  -0.001
  trained depth 1 (l2 clipped)   -0.016     -0.040   -0.539    [-0.59,-0.49]   6.87   0.000
  trained depth 2           0.181      0.196   -0.337    [-0.41,-0.28]   5.83   0.210
  trained depth 3           0.382      0.398   -0.127    [-0.17,-0.08]   5.09   0.358
  trained depth 4           0.363      0.381   -0.153    [-0.20,-0.11]   5.17   0.343
  trained all               0.432      0.455   -0.083    [-0.14,-0.03]   4.84   0.410
  untrained all (l2 clipped)   -0.000     -0.004   -0.543    [-0.59,-0.49]   6.88  -0.002
  observation (l2 clipped)   -0.013     -0.000   -0.543    [-0.60,-0.50]   6.89  -0.003

== d->poor (colour1) ==
  arm                     partial  within-ep  hard R2               CI    MAE  pooled
  trained depth 0 (l2 clipped)    0.020      0.004   -0.685    [-0.76,-0.63]   6.91   0.003
  trained depth 1 (l2 clipped)    0.060      0.064   -0.684    [-0.76,-0.63]   6.90   0.004
  trained depth 2           0.118      0.155   -0.531    [-0.61,-0.47]   6.07   0.165
  trained depth 3           0.174      0.221   -0.454    [-0.53,-0.40]   5.90   0.200
  trained depth 4           0.172      0.210   -0.482    [-0.55,-0.42]   5.94   0.185
  trained all               0.203      0.260   -0.409    [-0.49,-0.35]   5.78   0.228
  untrained all (l2 clipped)    0.006     -0.001   -0.686    [-0.76,-0.63]   6.92  -0.001
  observation (l2 clipped)    0.012      0.008   -0.689    [-0.76,-0.63]   6.93  -0.000
